country,points,price,log_price
Portugal,87,15,2.70805020110221
US,87,14,2.6390573296152584
US,87,13,2.5649493574615367
US,87,65,4.174387269895637
Spain,87,15,2.70805020110221
Italy,87,16,2.772588722239781
France,87,24,3.1780538303479458
Germany,87,12,2.4849066497880004
France,87,27,3.295836866004329
US,87,19,2.9444389791664403
France,87,30,3.4011973816621555
US,87,34,3.5263605246161616
US,87,12,2.4849066497880004
Germany,87,24,3.1780538303479458
Argentina,87,30,3.4011973816621555
Argentina,87,13,2.5649493574615367
Spain,87,28,3.332204510175204
US,87,32,3.4657359027997265
US,87,23,3.1354942159291497
US,87,20,2.995732273553991
Italy,87,19,2.9444389791664403
US,87,22,3.091042453358316
Italy,87,35,3.5553480614894135
US,87,69,4.23410650459726
Italy,87,13,2.5649493574615367
Italy,87,10,2.302585092994046
Italy,87,17,2.833213344056216
US,86,16,2.772588722239781
US,86,50,3.912023005428146
US,86,20,2.995732273553991
US,86,50,3.912023005428146
Chile,86,15,2.70805020110221
Italy,86,21,3.044522437723423
Italy,86,11,2.3978952727983707
Italy,86,12,2.4849066497880004
Italy,86,17,2.833213344056216
US,86,22,3.091042453358316
France,86,9,2.1972245773362196
US,86,14,2.6390573296152584
Chile,86,9,2.1972245773362196
US,86,40,3.6888794541139363
Italy,86,13,2.5649493574615367
US,86,13,2.5649493574615367
US,86,16,2.772588722239781
France,86,14,2.6390573296152584
Chile,85,22,3.091042453358316
Italy,85,14,2.6390573296152584
France,85,15,2.70805020110221
US,85,30,3.4011973816621555
US,85,14,2.6390573296152584
Italy,85,13,2.5649493574615367
Chile,85,13,2.5649493574615367
US,86,55,4.007333185232471
US,86,100,4.605170185988092
Italy,86,17,2.833213344056216
US,86,25,3.2188758248682006
France,86,58,4.060443010546419
US,86,26,3.258096538021482
France,86,24,3.1780538303479458
France,86,15,2.70805020110221
US,86,46,3.828641396489095
US,86,12,2.4849066497880004
France,86,55,4.007333185232471
US,86,12,2.4849066497880004
US,86,40,3.6888794541139363
Italy,86,32,3.4657359027997265
US,86,75,4.31748811353631
US,86,55,4.007333185232471
US,86,75,4.31748811353631
Germany,86,9,2.1972245773362196
Australia,86,18,2.8903717578961645
US,86,25,3.2188758248682006
Chile,86,12,2.4849066497880004
Spain,86,16,2.772588722239781
France,86,11,2.3978952727983707
Australia,86,20,2.995732273553991
US,86,24,3.1780538303479458
Germany,86,10,2.302585092994046
US,86,20,2.995732273553991
US,86,55,4.007333185232471
Italy,86,29,3.367295829986474
Italy,88,19,2.9444389791664403
US,88,23,3.1354942159291497
US,88,18,2.8903717578961645
US,88,55,4.007333185232471
Austria,88,12,2.4849066497880004
US,88,22,3.091042453358316
France,88,20,2.995732273553991
France,88,18,2.8903717578961645
US,88,20,2.995732273553991
Italy,88,30,3.4011973816621555
US,88,75,4.31748811353631
US,88,18,2.8903717578961645
US,87,20,2.995732273553991
US,87,20,2.995732273553991
Chile,87,18,2.8903717578961645
Italy,87,16,2.772588722239781
Italy,87,14,2.6390573296152584
Italy,87,30,3.4011973816621555
Italy,87,18,2.8903717578961645
US,87,26,3.258096538021482
Italy,87,30,3.4011973816621555
France,87,23,3.1354942159291497
US,87,85,4.442651256490317
Italy,87,15,2.70805020110221
Italy,87,19,2.9444389791664403
US,87,18,2.8903717578961645
US,87,18,2.8903717578961645
US,87,25,3.2188758248682006
US,87,44,3.784189633918261
Italy,87,80,4.382026634673881
France,92,80,4.382026634673881
Italy,92,70,4.248495242049359
US,92,36,3.58351893845611
US,92,39,3.6635616461296463
Australia,92,40,3.6888794541139363
US,92,45,3.8066624897703196
France,91,48,3.871201010907891
France,91,13,2.5649493574615367
France,91,17,2.833213344056216
Italy,91,70,4.248495242049359
France,91,20,2.995732273553991
Italy,91,68,4.219507705176107
US,91,78,4.356708826689592
Italy,91,60,4.0943445622221
France,91,50,3.912023005428146
France,90,10,2.302585092994046
France,90,112,4.718498871295094
Italy,90,26,3.258096538021482
Italy,90,45,3.8066624897703196
US,90,17,2.833213344056216
France,90,84,4.430816798843313
US,91,85,4.442651256490317
US,91,64,4.1588830833596715
US,91,68,4.219507705176107
US,91,68,4.219507705176107
Germany,91,16,2.772588722239781
US,91,35,3.5553480614894135
US,91,25,3.2188758248682006
Portugal,91,30,3.4011973816621555
US,91,55,4.007333185232471
US,91,46,3.828641396489095
Spain,91,50,3.912023005428146
US,91,36,3.58351893845611
Germany,91,14,2.6390573296152584
Portugal,91,26,3.258096538021482
Italy,91,38,3.6375861597263857
France,91,35,3.5553480614894135
US,91,35,3.5553480614894135
US,91,28,3.332204510175204
Chile,91,29,3.367295829986474
Chile,91,32,3.4657359027997265
France,91,25,3.2188758248682006
US,91,28,3.332204510175204
US,91,95,4.553876891600541
US,91,44,3.784189633918261
Germany,91,30,3.4011973816621555
Germany,91,22,3.091042453358316
Chile,91,20,2.995732273553991
US,91,38,3.6375861597263857
Italy,88,25,3.2188758248682006
Chile,88,50,3.912023005428146
Italy,88,22,3.091042453358316
US,88,25,3.2188758248682006
France,88,27,3.295836866004329
US,88,23,3.1354942159291497
US,88,36,3.58351893845611
Argentina,88,12,2.4849066497880004
US,88,35,3.5553480614894135
Chile,88,15,2.70805020110221
US,88,40,3.6888794541139363
Italy,88,48,3.871201010907891
Chile,88,11,2.3978952727983707
Chile,87,11,2.3978952727983707
Italy,87,26,3.258096538021482
Australia,87,30,3.4011973816621555
Italy,87,20,2.995732273553991
France,87,35,3.5553480614894135
Italy,87,35,3.5553480614894135
Italy,87,18,2.8903717578961645
US,90,60,4.0943445622221
US,90,28,3.332204510175204
Italy,90,62,4.127134385045092
Portugal,90,28,3.332204510175204
US,90,30,3.4011973816621555
US,90,25,3.2188758248682006
US,90,25,3.2188758248682006
US,90,32,3.4657359027997265
France,90,16,2.772588722239781
France,90,32,3.4657359027997265
Spain,90,40,3.6888794541139363
US,90,48,3.871201010907891
US,90,36,3.58351893845611
Italy,90,57,4.04305126783455
Portugal,90,20,2.995732273553991
US,90,20,2.995732273553991
US,90,40,3.6888794541139363
Italy,90,40,3.6888794541139363
Argentina,90,22,3.091042453358316
US,85,15,2.70805020110221
US,85,14,2.6390573296152584
US,85,18,2.8903717578961645
US,85,16,2.772588722239781
Argentina,85,10,2.302585092994046
Australia,85,12,2.4849066497880004
US,85,28,3.332204510175204
Italy,85,10,2.302585092994046
US,85,49,3.8918202981106265
US,85,85,4.442651256490317
Italy,85,18,2.8903717578961645
Australia,85,29,3.367295829986474
US,85,36,3.58351893845611
France,85,9,2.1972245773362196
US,85,34,3.5263605246161616
US,85,15,2.70805020110221
US,85,30,3.4011973816621555
Spain,85,13,2.5649493574615367
Argentina,85,12,2.4849066497880004
Australia,85,15,2.70805020110221
US,85,25,3.2188758248682006
US,85,45,3.8066624897703196
US,85,18,2.8903717578961645
US,85,49,3.8918202981106265
US,85,22,3.091042453358316
US,85,35,3.5553480614894135
Argentina,85,15,2.70805020110221
US,89,45,3.8066624897703196
US,89,55,4.007333185232471
France,89,13,2.5649493574615367
US,89,40,3.6888794541139363
Argentina,89,37,3.6109179126442243
US,89,39,3.6635616461296463
US,89,60,4.0943445622221
Argentina,89,14,2.6390573296152584
Italy,89,40,3.6888794541139363
Italy,89,36,3.58351893845611
Austria,89,17,2.833213344056216
Italy,89,25,3.2188758248682006
Italy,89,26,3.258096538021482
Argentina,89,19,2.9444389791664403
Italy,89,13,2.5649493574615367
Argentina,89,30,3.4011973816621555
US,89,20,2.995732273553991
US,89,30,3.4011973816621555
US,89,50,3.912023005428146
Italy,89,52,3.9512437185814275
Austria,92,24,3.1780538303479458
US,92,34,3.5263605246161616
Italy,92,41,3.713572066704308
US,92,52,3.9512437185814275
Argentina,92,215,5.3706380281276624
US,92,60,4.0943445622221
Spain,92,40,3.6888794541139363
US,92,125,4.8283137373023015
France,92,45,3.8066624897703196
Australia,92,70,4.248495242049359
Argentina,92,30,3.4011973816621555
US,87,35,3.5553480614894135
Chile,87,20,2.995732273553991
US,87,15,2.70805020110221
Chile,87,19,2.9444389791664403
US,87,28,3.332204510175204
US,87,14,2.6390573296152584
Italy,87,56,4.02535169073515
US,87,24,3.1780538303479458
France,87,30,3.4011973816621555
Italy,87,20,2.995732273553991
Italy,87,18,2.8903717578961645
US,87,40,3.6888794541139363
US,87,28,3.332204510175204
Italy,86,15,2.70805020110221
Chile,86,18,2.8903717578961645
Italy,86,20,2.995732273553991
Italy,86,22,3.091042453358316
Italy,86,16,2.772588722239781
Italy,86,18,2.8903717578961645
Chile,86,35,3.5553480614894135
Italy,86,12,2.4849066497880004
US,86,11,2.3978952727983707
Italy,86,15,2.70805020110221
Chile,86,18,2.8903717578961645
US,86,16,2.772588722239781
US,86,34,3.5263605246161616
US,86,40,3.6888794541139363
Chile,86,15,2.70805020110221
Italy,86,19,2.9444389791664403
Italy,86,18,2.8903717578961645
France,86,42,3.7376696182833684
Italy,86,15,2.70805020110221
Chile,83,35,3.5553480614894135
France,83,16,2.772588722239781
France,82,11,2.3978952727983707
Spain,82,13,2.5649493574615367
France,82,18,2.8903717578961645
US,82,48,3.871201010907891
Spain,82,11,2.3978952727983707
Chile,81,20,2.995732273553991
Chile,80,19,2.9444389791664403
Australia,100,350,5.857933154483459
Australia,98,350,5.857933154483459
Germany,97,775,6.652863029353347
Australia,97,100,4.605170185988092
Australia,97,225,5.41610040220442
Italy,97,150,5.0106352940962555
US,96,68,4.219507705176107
France,96,630,6.4457198193855785
Germany,96,365,5.8998973535824915
US,96,68,4.219507705176107
Australia,95,85,4.442651256490317
France,95,350,5.857933154483459
Germany,95,66,4.189654742026425
France,95,110,4.700480365792417
Australia,95,125,4.8283137373023015
Italy,95,60,4.0943445622221
US,95,200,5.298317366548036
France,95,380,5.940171252720432
US,95,48,3.871201010907891
Australia,95,60,4.0943445622221
Italy,88,21,3.044522437723423
Chile,88,10,2.302585092994046
Italy,88,11,2.3978952727983707
Italy,88,21,3.044522437723423
US,88,160,5.075173815233827
Italy,88,23,3.1354942159291497
Italy,88,10,2.302585092994046
Italy,88,15,2.70805020110221
US,88,19,2.9444389791664403
Italy,88,40,3.6888794541139363
Italy,88,18,2.8903717578961645
Italy,88,15,2.70805020110221
Chile,88,12,2.4849066497880004
Italy,88,11,2.3978952727983707
Chile,88,15,2.70805020110221
Italy,88,9,2.1972245773362196
Italy,88,30,3.4011973816621555
US,88,18,2.8903717578961645
US,88,34,3.5263605246161616
US,88,17,2.833213344056216
US,88,25,3.2188758248682006
Italy,88,15,2.70805020110221
Chile,88,12,2.4849066497880004
Chile,88,14,2.6390573296152584
US,87,12,2.4849066497880004
Chile,87,11,2.3978952727983707
Chile,87,12,2.4849066497880004
US,85,16,2.772588722239781
Chile,85,15,2.70805020110221
Chile,85,13,2.5649493574615367
Italy,85,24,3.1780538303479458
Italy,85,13,2.5649493574615367
Italy,85,19,2.9444389791664403
Chile,85,11,2.3978952727983707
US,85,15,2.70805020110221
US,85,45,3.8066624897703196
Italy,85,19,2.9444389791664403
France,85,30,3.4011973816621555
Chile,85,14,2.6390573296152584
Italy,85,15,2.70805020110221
US,85,20,2.995732273553991
US,85,20,2.995732273553991
US,85,12,2.4849066497880004
Italy,85,20,2.995732273553991
Italy,85,13,2.5649493574615367
Italy,85,16,2.772588722239781
US,85,14,2.6390573296152584
Italy,85,14,2.6390573296152584
France,89,20,2.995732273553991
US,89,30,3.4011973816621555
US,89,20,2.995732273553991
Austria,89,23,3.1354942159291497
US,89,30,3.4011973816621555
US,89,18,2.8903717578961645
Spain,89,18,2.8903717578961645
US,89,35,3.5553480614894135
Austria,89,17,2.833213344056216
US,89,42,3.7376696182833684
US,89,30,3.4011973816621555
US,89,24,3.1780538303479458
US,89,16,2.772588722239781
US,89,27,3.295836866004329
Italy,89,89,4.48863636973214
Italy,89,15,2.70805020110221
US,89,54,3.9889840465642745
Spain,89,15,2.70805020110221
Spain,89,42,3.7376696182833684
US,89,38,3.6375861597263857
Austria,89,12,2.4849066497880004
US,89,35,3.5553480614894135
US,88,32,3.4657359027997265
Austria,88,12,2.4849066497880004
Italy,88,28,3.332204510175204
US,88,20,2.995732273553991
France,88,14,2.6390573296152584
France,88,19,2.9444389791664403
Italy,92,39,3.6635616461296463
Italy,92,35,3.5553480614894135
France,92,69,4.23410650459726
US,92,40,3.6888794541139363
US,92,23,3.1354942159291497
US,92,45,3.8066624897703196
Italy,92,50,3.912023005428146
France,92,100,4.605170185988092
US,92,50,3.912023005428146
US,92,29,3.367295829986474
France,92,66,4.189654742026425
France,92,60,4.0943445622221
Germany,92,115,4.74493212836325
Italy,92,69,4.23410650459726
US,92,65,4.174387269895637
Germany,92,42,3.7376696182833684
Germany,92,27,3.295836866004329
France,92,70,4.248495242049359
France,92,73,4.290459441148391
France,92,72,4.276666119016055
Portugal,92,34,3.5263605246161616
US,92,130,4.867534450455582
US,92,88,4.477336814478207
France,92,65,4.174387269895637
Italy,87,15,2.70805020110221
US,87,45,3.8066624897703196
Italy,87,18,2.8903717578961645
US,87,60,4.0943445622221
France,87,13,2.5649493574615367
US,87,13,2.5649493574615367
Italy,87,15,2.70805020110221
Italy,87,18,2.8903717578961645
Italy,87,13,2.5649493574615367
Spain,87,19,2.9444389791664403
Austria,87,18,2.8903717578961645
US,87,30,3.4011973816621555
US,87,35,3.5553480614894135
US,87,12,2.4849066497880004
US,87,18,2.8903717578961645
Spain,87,25,3.2188758248682006
US,87,30,3.4011973816621555
US,87,17,2.833213344056216
France,87,20,2.995732273553991
Spain,87,11,2.3978952727983707
US,87,15,2.70805020110221
Austria,87,18,2.8903717578961645
US,87,19,2.9444389791664403
France,87,15,2.70805020110221
Spain,87,16,2.772588722239781
Italy,87,12,2.4849066497880004
US,87,28,3.332204510175204
US,87,28,3.332204510175204
US,91,65,4.174387269895637
US,91,48,3.871201010907891
France,91,70,4.248495242049359
France,91,59,4.07753744390572
US,91,90,4.499809670330265
Chile,91,35,3.5553480614894135
US,91,75,4.31748811353631
US,91,55,4.007333185232471
US,91,55,4.007333185232471
France,91,60,4.0943445622221
US,91,36,3.58351893845611
US,91,35,3.5553480614894135
US,91,35,3.5553480614894135
US,91,55,4.007333185232471
US,91,65,4.174387269895637
US,91,35,3.5553480614894135
US,91,49,3.8918202981106265
US,91,55,4.007333185232471
Germany,91,30,3.4011973816621555
France,91,42,3.7376696182833684
US,91,45,3.8066624897703196
Chile,91,24,3.1780538303479458
US,91,50,3.912023005428146
US,91,50,3.912023005428146
US,91,50,3.912023005428146
US,91,38,3.6375861597263857
Germany,91,22,3.091042453358316
US,91,50,3.912023005428146
US,91,110,4.700480365792417
US,91,45,3.8066624897703196
US,93,42,3.7376696182833684
US,93,60,4.0943445622221
US,93,42,3.7376696182833684
Italy,93,30,3.4011973816621555
US,93,75,4.31748811353631
US,93,54,3.9889840465642745
US,93,85,4.442651256490317
US,93,50,3.912023005428146
US,93,150,5.0106352940962555
US,93,85,4.442651256490317
Italy,93,90,4.499809670330265
US,93,35,3.5553480614894135
US,93,46,3.828641396489095
France,93,20,2.995732273553991
Argentina,93,42,3.7376696182833684
France,93,40,3.6888794541139363
US,93,75,4.31748811353631
Spain,93,88,4.477336814478207
US,93,40,3.6888794541139363
US,93,25,3.2188758248682006
US,93,48,3.871201010907891
US,93,45,3.8066624897703196
US,93,50,3.912023005428146
US,93,65,4.174387269895637
US,93,48,3.871201010907891
US,93,62,4.127134385045092
US,93,100,4.605170185988092
US,93,53,3.970291913552122
Argentina,93,55,4.007333185232471
US,93,70,4.248495242049359
US,89,38,3.6375861597263857
US,89,50,3.912023005428146
US,89,25,3.2188758248682006
Italy,89,15,2.70805020110221
France,89,14,2.6390573296152584
France,89,11,2.3978952727983707
France,89,14,2.6390573296152584
France,89,37,3.6109179126442243
US,89,17,2.833213344056216
France,89,15,2.70805020110221
US,89,13,2.5649493574615367
US,89,18,2.8903717578961645
US,89,26,3.258096538021482
US,89,18,2.8903717578961645
US,89,32,3.4657359027997265
Austria,89,18,2.8903717578961645
US,89,25,3.2188758248682006
Austria,89,18,2.8903717578961645
Austria,89,20,2.995732273553991
US,89,18,2.8903717578961645
US,89,17,2.833213344056216
Austria,89,13,2.5649493574615367
US,89,41,3.713572066704308
Austria,89,16,2.772588722239781
France,89,20,2.995732273553991
US,89,30,3.4011973816621555
Austria,89,24,3.1780538303479458
US,89,36,3.58351893845611
US,87,20,2.995732273553991
Italy,87,19,2.9444389791664403
US,87,69,4.23410650459726
US,87,36,3.58351893845611
Spain,87,35,3.5553480614894135
Argentina,87,30,3.4011973816621555
US,87,25,3.2188758248682006
US,87,25,3.2188758248682006
Portugal,87,15,2.70805020110221
US,87,20,2.995732273553991
US,87,17,2.833213344056216
US,87,54,3.9889840465642745
US,87,40,3.6888794541139363
Portugal,87,12,2.4849066497880004
Italy,87,19,2.9444389791664403
Argentina,87,11,2.3978952727983707
US,87,45,3.8066624897703196
Italy,87,25,3.2188758248682006
US,87,35,3.5553480614894135
Italy,87,16,2.772588722239781
Italy,87,20,2.995732273553991
US,87,28,3.332204510175204
US,87,25,3.2188758248682006
US,87,28,3.332204510175204
US,87,20,2.995732273553991
Italy,87,15,2.70805020110221
Italy,87,23,3.1354942159291497
Italy,87,19,2.9444389791664403
Australia,92,35,3.5553480614894135
US,92,75,4.31748811353631
US,92,48,3.871201010907891
France,92,54,3.9889840465642745
France,92,34,3.5263605246161616
Australia,92,60,4.0943445622221
US,92,48,3.871201010907891
Spain,92,28,3.332204510175204
Australia,92,125,4.8283137373023015
France,92,45,3.8066624897703196
France,92,36,3.58351893845611
France,92,30,3.4011973816621555
US,92,37,3.6109179126442243
US,92,25,3.2188758248682006
Portugal,92,30,3.4011973816621555
US,92,60,4.0943445622221
US,92,40,3.6888794541139363
US,92,50,3.912023005428146
Portugal,92,23,3.1354942159291497
Portugal,92,80,4.382026634673881
Germany,92,34,3.5263605246161616
US,92,75,4.31748811353631
Italy,92,24,3.1780538303479458
France,92,39,3.6635616461296463
Australia,92,21,3.044522437723423
US,92,35,3.5553480614894135
France,92,43,3.7612001156935624
US,92,30,3.4011973816621555
US,92,70,4.248495242049359
US,90,40,3.6888794541139363
US,90,45,3.8066624897703196
US,90,80,4.382026634673881
US,90,15,2.70805020110221
Italy,90,65,4.174387269895637
US,90,65,4.174387269895637
Italy,90,35,3.5553480614894135
Italy,90,25,3.2188758248682006
US,90,20,2.995732273553991
Spain,90,15,2.70805020110221
US,90,26,3.258096538021482
US,90,30,3.4011973816621555
US,90,13,2.5649493574615367
US,90,45,3.8066624897703196
US,90,26,3.258096538021482
US,90,44,3.784189633918261
US,90,38,3.6375861597263857
US,90,28,3.332204510175204
US,90,32,3.4657359027997265
Italy,90,50,3.912023005428146
Italy,90,35,3.5553480614894135
US,90,35,3.5553480614894135
Spain,90,25,3.2188758248682006
US,90,42,3.7376696182833684
